編號,縣市別代碼,地址,發放口罩藥局名稱,TM2X,TM2Y,行政區,成人口罩數量,兒童口罩數量,藥局提供時間說明,經度,緯度,口罩地圖數量紀錄時間,系統查詢總計數量,系統紀錄日期,系統當日查詢數量
16,66000,臺中市東勢區豐勢路４３８號,東勢福倫藥局,232635.6833,2683370.035,東勢區,4290,2190,-,120.8289896,24.25586022,2022/2/15 15:08,892642,2022/12/17,5
17,66000,臺中市大甲區三民路１３２－２號,康好藥局,211641.0505,2693672.682,大甲區,1390,810,每天早上8-12點.下午14:30至售完為止.星期四不銷售. 星期日只銷售前日剩餘口罩,120.6219535,24.34851012,2022/2/15 15:08,892637,2022/12/16,4
18,66000,臺中市豐原區圓環東路６１７號１樓,大樹圓環藥局,222406.5311,2682829.946,豐原區,2200,960,口罩販售時間：14:00 - 16:00,120.7282601,24.25083706,2022/2/15 15:08,892633,2022/12/15,4
19,66000,臺中市大甲區蔣公路２６６號１樓,康達藥局,211328.3005,2693556.001,大甲區,0,240,-,120.6188744,24.3474489,2022/2/15 15:08,892629,2022/12/14,2
20,66000,台中市大甲區順天路１２８號,甲尚藥局,211657.914,2693228.399,大甲區,680,1510,早上08-10 不領號碼牌 直接過卡發售口罩 (過卡需時間 請耐心等候),120.6221316,24.34449911,2022/2/15 15:08,892627,2022/12/13,2
21,66000,臺中市大甲區順天路１４６號１樓,廣元藥局,211689.9122,2693278.561,大甲區,1250,1020,早上8點30分開始販賣防疫口罩.售完為止,120.6224456,24.34495281,2022/2/15 15:08,892625,2022/12/12,5
22,66000,臺中市大甲區中山路１段９０５號,大甲啄木鳥藥局,211958.1218,2693072.422,大甲區,3390,150,週一~週日每日AM08:15開始販售口罩~PM10:20   啄木鳥藥局歡迎您   ^__________^,120.6250943,24.34309814,2022/2/15 15:08,892620,2022/12/11,6
23,66000,臺中市大甲區中山路１段５７６號１樓,聖佑藥局,211448.3038,2692897.545,大甲區,0,1560,-,120.6200748,24.34150668,2022/2/15 15:08,892614,2022/12/10,5
24,66000,臺中市大甲區文武路１７８之３號,慶安藥局,211531.0423,2693621.855,大甲區,550,1400,9:30-21:30代售防疫口罩；週日晚上及週二全天公休,120.6208707,24.3480485,2022/2/15 15:08,892609,2022/12/9,7
25,66000,臺中市大甲區民生路２１號,志明藥局,212092.4756,2693478.072,大甲區,3220,1030,-,120.6264076,24.34676401,2022/2/15 15:08,892602,2022/12/8,2
26,66000,臺中市大甲區甲后路５段２６９號１樓,大甲合和藥局,212846.301,2693247.073,大甲區,2030,1380,固定周一到周六，營業時間開始販賣防疫口罩,120.6338427,24.34469644,2022/2/15 15:08,892600,2022/12/7,3
27,66000,臺中市大甲區文武路１８號,盈盈藥局,212049.3841,2693373.432,大甲區,1690,1210,-,120.6259857,24.34581817,2022/2/15 15:08,892597,2022/12/6,5
28,66000,臺中市清水區高美路１１７號,得康藥局,206881.747,2685964.886,清水區,950,190,7︰30開賣，賣完為止,120.575281,24.2787926,2022/2/15 15:08,892592,2022/12/5,4
29,66000,臺中市沙鹿區鎮南路２段２３４號,進騰藥局,206219.1356,2679892.189,沙鹿區,4150,1710,8:00-22:00,120.5689392,24.2239437,2022/2/15 15:08,892588,2022/12/4,4
30,66000,臺中市沙鹿區向上路７段１３０號,仁暉健保處方藥局,205748.1195,2677952.477,沙鹿區,3560,1260,6月份起，營業時間皆可購買實名制口罩，直到售完為止。星期日公休。,120.5643613,24.20641672,2022/2/15 15:08,892584,2022/12/3,2
31,66000,臺中市沙鹿區正義路２號,沙鹿合和健保藥局,206221.5401,2678281.694,沙鹿區,2310,2090,-,120.5690118,24.2094025,2022/2/15 15:08,892582,2022/12/2,3
32,66000,臺中市沙鹿區北勢東路５０９之７號１樓,北勢進騰藥局,206938.001,2680036.166,沙鹿區,4940,2200,10:30-22:00,120.5760126,24.22526355,2022/2/15 15:08,892579,2022/12/1,2
33,66000,臺中市沙鹿區北勢東路６９３號１樓,立好藥局,206556.8966,2680514.757,沙鹿區,1840,1510,-,120.5722459,24.22957428,2022/2/15 15:08,892577,2022/11/30,8
34,66000,臺中市清水區中華路５２５號,碧綠谷藥局,206524.4364,2685662.016,清水區,990,1310,09:30發放口罩.星期日休息.癌症諮詢.慢箋領藥.長照特約.更年期.糖尿病.戒菸諮詢.孕期保健.小兒營養,120.5717707,24.27604812,2022/2/15 15:08,892569,2022/11/29,2
35,66000,臺中市沙鹿區北中路８６－１、８６－２號,樂齊藥局,206248.7132,2680366.606,沙鹿區,790,3430,防疫口罩營業時間皆可領取，售完為止，庫存請依現場為主。,120.569216,24.22822806,2022/2/15 15:08,892567,2022/11/28,6
36,66000,臺中市沙鹿區沙田路１４２號１樓,富康沙鹿藥局,205267.2837,2681244.314,沙鹿區,1070,260,*每日販售販賣防疫口罩。(全年無休)*固定周一到周日,120.5595256,24.23612527,2022/2/15 15:08,892561,2022/11/27,2
37,66000,臺中市沙鹿區鎮南路二段７７號１樓,百岳大藥局,206292.5799,2679338.675,沙鹿區,1510,290,9:00憑健保卡購買口罩,120.5696791,24.21894803,2022/2/15 15:08,892559,2022/11/26,5
38,66000,臺中市后里區甲后路一段５９８號,泉興中西大藥局,221736.7461,2689284.596,后里區,1100,1810,-,120.7215371,24.30910507,2022/2/15 15:08,892554,2022/11/25,3
39,66000,臺中市后里區四村路７８號,得安藥局,220856.2163,2688796.956,后里區,900,960,口罩販賣時段:整天販售(18:00-19:00停止販售)現場狀況為主,120.7128717,24.30468597,2022/2/15 15:08,892551,2022/11/24,4
40,66000,臺中市梧棲區中和街８５號,梧棲玖裕藥局,202438.8477,2683393.471,梧棲區,140,1200,口罩代售星期一到星期六，早上9點發口罩 星期日休假,120.5316042,24.25544683,2022/2/15 15:08,892547,2022/11/23,5
41,66000,臺中市后里區公安路６８號,豪銘藥局,220692.587,2688797.882,后里區,2190,1580,每天早上8:30點開始販售口罩，售完為止。,120.7112596,24.30469127,2022/2/15 15:08,892542,2022/11/22,6
42,66000,臺中市神岡區神岡路６３號、６５號,長生健保藥局,215548.9183,2683577.482,神岡區,620,770,星期日不賣口罩除外星期一至六固定每天下午1點至晚上8點領取口罩或售完為止.星期日沒有賣星期日沒有賣,120.6607094,24.25745104,2022/2/15 15:08,892536,2022/11/21,6
43,66000,臺中市神岡區大漢街２５號,捷達藥局,219277.4887,2683133.091,神岡區,950,720,周一到周六上午8:00開始販售，售完為止。,120.6974392,24.25351604,2022/2/15 15:08,892530,2022/11/20,3
44,66000,臺中市神岡區民生路２４號１樓,社南藥局,217714.2245,2682312.191,神岡區,1320,830,每天8點開始排隊購買口罩至售完為止,120.6820625,24.24607262,2022/2/15 15:08,892527,2022/11/19,5
45,66000,臺中市神岡區豐洲路４６６－３號１樓,灃洲大藥局,219996.8779,2684048.401,神岡區,370,1240,星期日公休,120.7045047,24.26179444,2022/2/15 15:08,892522,2022/11/18,3
46,66000,臺中市后里區甲后路一段４７８號１樓,祐恩藥局,221988.0828,2689277.688,后里區,740,140,固定周一到周六，國定例假日照常調劑藥服務。清明、端午、中秋節晚上休息。,120.7240135,24.30904722,2022/2/15 15:08,892519,2022/11/17,5
47,66000,臺中市潭子區中山路２段３８１號１樓,上宇藥局,220046.6058,2678640.018,潭子區,1980,1070,週一至週五上午9點至12點，下午三點至九點，週六早上9點至12點，依序發售口罩，週日休息。,120.705107,24.21296214,2022/2/15 15:08,892514,2022/11/16,8
48,66000,臺中市潭子區興華一路５０３號１樓,均安藥局,219667.4437,2678757.159,潭子區,660,1000,-,120.7013717,24.21401256,2022/2/15 15:08,892506,2022/11/15,2
49,66000,臺中市大雅區民生路１段２２、２２－１號,大雅東亞藥師大藥局,214091.866,2680081.426,大雅區,180,1220,10am-12n，不發號碼牌，全年無休,120.6464471,24.22585205,2022/2/15 15:08,892504,2022/11/14,4
50,66000,臺中市潭子區大德北路６９號１樓,信實藥局,217240.0744,2677828.282,潭子區,170,810,週一至週五 上午9時開始販售口罩， 售完為止; 週日公休,120.6774953,24.20557683,2022/2/15 15:08,892500,2022/11/13,4
51,66000,臺中市潭子區潭興路三段９３號１樓,成記藥局,219767.461,2678479.433,潭子區,780,810,-,120.7023622,24.21150684,2022/2/15 15:08,892496,2022/11/12,5
52,66000,臺中市大雅區永和路１９４號,妙昌藥局,214169.7225,2679734.354,大雅區,860,790,每日上午9:30發放號碼牌，10:00開始販售。(固定周一到周日),120.6472223,24.22272006,2022/2/15 15:08,892491,2022/11/11,6
53,66000,臺中市新社區興安路２４、２６號,新社千百岳大藥局,230538.8555,2681753.194,新社區,630,200,早上8.30販售，現場排隊購買，售完為止！周日若有庫存會繼續販售,120.8083612,24.24123677,2022/2/15 15:08,892485,2022/11/10,1
54,66000,臺中市外埔區甲后路三段１０３０號１樓,祐民健保藥局,214809.9903,2691834.432,外埔區,0,1530,固定周一到周六，早上8:00開始發放號碼牌及販賣防疫口罩,120.6532297,24.33198716,2022/2/15 15:08,892484,2022/11/9,3
55,66000,臺中市外埔區重光路３３－１９號,博翔欣大藥局,214695.8538,2691752.857,外埔區,160,1070,周一到周六,120.652107,24.33124805,2022/2/15 15:08,892481,2022/11/8,3
56,66000,臺中市大安區中松路１８號１樓,音聲藥局,208109.3611,2693475.399,大安區,400,270,固定周一到周六，早上9:00開始販賣防疫口罩(依排隊順序),120.5871534,24.34663812,2022/2/15 15:08,892478,2022/11/7,4
57,66000,臺中市烏日區溪南路１段７７６號,全成烏日藥局,213663.9239,2663289.7,烏日區,1420,1470,口罩周一至周六可領取 周日休息,120.6426555,24.07422594,2022/2/15 15:08,892474,2022/11/6,2
58,66000,臺中市烏日區中山路１段５４８－１號,明康藥局,212890.9359,2666923.096,烏日區,3150,1740,實名制口罩代售時間為週二週三週四14:00~19:00(以現場排隊為主，不發號碼牌),120.6349608,24.10701497,2022/2/15 15:08,892472,2022/11/5,4
59,66000,臺中市烏日區學田路便行巷１４號,學田藥局,210096.859,2668461.159,烏日區,3210,2070,W1-W6 10:00-售完。,120.6074338,24.12083438,2022/2/15 15:08,892468,2022/11/4,7
60,66000,臺中市烏日區一心街１號,仁厚藥局,212056.2982,2666382.913,烏日區,1380,820,星期六.日休息,120.6267648,24.10211769,2022/2/15 15:08,892461,2022/11/3,4
61,66000,臺中市烏日區榮和路６１號１樓,成功福倫藥局,209048.0988,2667127.779,烏日區,2430,990,每日下午0200~0700販售實名制口罩<星期天停售>,120.597154,24.10876813,2022/2/15 15:08,892457,2022/11/2,18
62,66000,臺中市大肚區遊園路２段２２１－３號１樓,大肚新庄藥局,207407.2308,2674330.875,大肚區,0,1230,每天9點開始排隊販賣，賣完為止,120.580801,24.1737627,2022/2/15 15:08,892439,2022/11/1,4
63,66000,臺中市大肚區沙田路２段７６５號１樓,祥安健保藥局,203682.1689,2672150.679,大肚區,4420,1460,-,120.5442096,24.15397232,2022/2/15 15:08,892435,2022/10/31,6
64,66000,臺中市大肚區文昌路１段４０號,昇永藥局,203702.441,2671844.022,大肚區,2030,700,口罩販售時間 週一至週五及週日,120.5444189,24.15120407,2022/2/15 15:08,892429,2022/10/30,2
65,66000,臺中市大肚區遊園路二段１７６號１樓,安昌藥局,207408.0182,2674234.188,大肚區,660,690,上班時間星期一至星期日.早上8:30之前發放號碼牌.晚上20:00以前皆可憑號碼牌.健保卡購取口罩.,120.5808116,24.17288972,2022/2/15 15:08,892427,2022/10/29,5
66,66000,臺中市龍井區國際街１２１號,理想藥局,208884.2285,2675758.662,龍井區,660,1640,周一至周六，早上8:30開始販賣口罩，周日公休,120.5952967,24.18669365,2022/2/15 15:08,892422,2022/10/28,4
67,66000,臺中市龍井區沙田路６段１９７號１樓,大佶安藥局龍井店,204250.0916,2678260.62,龍井區,30,1060,營業時間(早上9:30-12:30，下午13:30-21:30)都有賣口罩，售完為止,120.5496045,24.20915608,2022/2/15 15:08,892418,2022/10/27,6
68,66000,臺中市霧峰區四德路５５６號１樓,皇昇藥局,215912.8427,2661717.93,霧峰區,1270,1330,早上8點開始販售，現場排隊,120.6648089,24.06008395,2022/2/15 15:08,892412,2022/10/26,3
69,66000,臺中市霧峰區中正路１１３５號１樓,霧峰安德藥局,219410.4064,2662810.09,霧峰區,1080,870,口罩代售時間星期一~星期六14:00-21:00。賣完即提早結束。禮拜日不賣口罩。,120.6991783,24.07001694,2022/2/15 15:08,892409,2022/10/25,15
70,66000,臺中市霧峰區中正路９５１號１樓,正開心大藥局,219356.8571,2662326.273,霧峰區,2030,1060,-,120.6986619,24.06564734,2022/2/15 15:08,892394,2022/10/24,4
71,66000,臺中市霧峰區中正路８３０號１樓,峰正藥局,219356.0035,2661970.918,霧峰區,0,810,口罩販售時間：14:00 - 16:00,120.698661,24.06243869,2022/2/15 15:08,892390,2022/10/23,4
72,66000,臺中市太平區中山路２段３５７號,八醫健保藥局,222533.7733,2671685.142,太平區,920,890,口罩販售時間0830開始，售完為止,120.7297254,24.15021017,2022/2/15 15:08,892386,2022/10/22,11
73,66000,臺中市太平區宜昌路５５２號１樓,劍橋藥局,221106.1673,2671396.252,太平區,290,380,星期一到星期六 每天下午5:00,120.7156833,24.14757618,2022/2/15 15:08,892375,2022/10/21,4
74,66000,臺中市太平區中山路２段４５８號,亞洲藥師連鎖大藥局,222076.709,2671644.332,太平區,3010,1800,-,120.7252286,24.14983366,2022/2/15 15:08,892371,2022/10/20,3
75,66000,臺中市太平區太平路１４７號,春長藥局,221660.0158,2668344.072,太平區,330,0,口罩代售時間自0900~1200;星期1-6代售,120.7211929,24.12002714,2022/2/15 15:08,892368,2022/10/19,2
76,66000,臺中市太平區宜欣二路４４號１樓,太平中大藥局,221183.3795,2671138.472,太平區,0,460,口罩代售時間，每日下午2點至4點，星期日休息，現場排隊購買，售完為止,120.7164482,24.14525002,2022/2/15 15:08,892366,2022/10/18,5
77,66000,臺中市太平區中山路３段２之２號１樓,中山德侑藥局,221772.4062,2671599.242,太平區,2050,1320,每日上午現場9:00販售口罩,120.7222351,24.14942111,2022/2/15 15:08,892361,2022/10/17,6
78,66000,臺中市太平區中山路３段２８號１樓,安心藥局,221658.078,2671583.892,太平區,840,1040,口罩供應時間上午9:00~12:00有餘量下午17:00~21:00繼續供應週三晚上及週日全天公休不供應口罩,120.7211104,24.14928045,2022/2/15 15:08,892355,2022/10/16,6
79,66000,臺中市太平區育賢路５１８號,太平小林健保藥局,220869.1763,2672643.183,太平區,5050,2260,每天早上8點發號碼牌，下午4:30販售口罩,120.7133262,24.15883071,2022/2/15 15:08,892349,2022/10/15,4
80,66000,臺中市太平區太平路５０９號,雪仁藥局,220943.2532,2668892.362,太平區,670,70,下午2點-4點販售口罩，週日公休。,120.7141305,24.1249648,2022/2/15 15:08,892345,2022/10/14,6
81,66000,臺中市太平區光興路８２７號１樓,新平和藥局,222624.2105,2667455.252,太平區,100,1830,如需領藥請先電話洽詢。口罩現場販售.不用排隊,120.7306953,24.1120187,2022/2/15 15:08,892339,2022/10/13,4
82,66000,臺中市太平區育賢路１０７號、１０９號,育賢德侑藥局,221736.6947,2672514.828,太平區,390,360,防疫口罩販售時間：星期一~星期日 早上9點~晚上9點(售完為止),120.7218658,24.15768756,2022/2/15 15:08,892335,2022/10/12,4
83,66000,臺中市太平區樹孝路５０２號,及宏藥局,221598.3322,2672556.152,太平區,2410,290,-,120.7205034,24.1580582,2022/2/15 15:08,892331,2022/10/11,4
84,66000,臺中市太平區太平路５４０號,天慈大藥局,220896.8128,2668927.642,太平區,3710,960,口罩代售時間自8:30，現場排隊,120.7136729,24.1252825,2022/2/15 15:08,892327,2022/10/10,5
85,66000,臺中市太平區東平路３６８號１樓,太平惠民藥師藥局,222224.9112,2669926.792,太平區,50,1520,周一到周日,120.7267199,24.13432808,2022/2/15 15:08,892322,2022/10/9,3
86,66000,臺中市太平區永豐路４２６號１樓,世國藥局,219864.29,2667394.81,太平區,250,1030,購買口罩時間(一~五)9:00~10:00;16:00~17:00;19:00~20:00;不用抽號碼牌，不要一直打電話問有沒有口罩ㄧ,120.7035438,24.11137929,2022/2/15 15:08,892319,2022/10/8,5
87,66000,臺中市大里區塗城路７５８號１樓,福德健保處方藥局,219247.2259,2665051.602,大里區,0,1690,代售口罩到晚上六點,120.6975261,24.09025319,2022/2/15 15:08,892314,2022/10/7,5
88,66000,臺中市大里區仁化路５４０號,仁化藥局,219621.5445,2665712.172,大里區,180,790,口罩 W1-W5 09:00發放   W日0900發放  W6 休息,120.7011939,24.09622494,2022/2/15 15:08,892309,2022/10/6,5
89,66000,臺中市大里區成功路５１５號１樓,弘佑藥局,219821.8466,2665100.452,大里區,0,120,週一至週六..口罩販售時間中午12:00起，現場排隊不發號碼牌，售完為止。星期天公休,120.7031768,24.09070535,2022/2/15 15:08,892304,2022/10/5,6
90,66000,臺中市大里區中興路１段３７６號,新家祐健保藥局,218707.025,2665168.742,大里區,1990,1700,-,120.6922104,24.09130028,2022/2/15 15:08,892298,2022/10/4,7
91,66000,臺中市大里區中興路２段４０６號,祥佑健保特約藥局,218493.1941,2666984.122,大里區,1850,2070,口罩代售時間:週一~週六早上9:00開始.現場排隊.售完為止,120.6900678,24.10768769,2022/2/15 15:08,892291,2022/10/3,7
92,66000,臺中市大里區益民路２段３７２號１樓,信元藥局,217873.5136,2667844.822,大里區,230,540,下午4點發號碼牌並依序販賣,120.683953,24.11544674,2022/2/15 15:08,892284,2022/10/2,5
93,66000,臺中市大里區益民路１段１６４號１樓,廣信藥局,218725.4829,2666877.362,大里區,1190,930,-,120.6923551,24.10672834,2022/2/15 15:08,892279,2022/10/1,4
94,66000,臺中市大里區國光路２段５５１－１號１樓,國光丁丁藥局,217347.0914,2667509.372,大里區,430,930,星期一至星期日早上9點依排隊順序直接領取,120.6787819,24.11240706,2022/2/15 15:08,892275,2022/9/30,9
95,66000,臺中市大里區仁化路８１６號１樓,祐仁健保藥局,218534.1108,2665107.862,大里區,900,20,實名制口罩無時間限制，營業時間:上午9點至晚上9點，週日公休,120.690511,24.09074714,2022/2/15 15:08,892266,2022/9/29,6
96,66000,臺中市大里區立仁路７９號１樓,聖康藥局,219871.2812,2666993.112,大里區,1140,870,-,120.7036237,24.10779576,2022/2/15 15:08,892260,2022/9/28,9
97,66000,臺中市大里區成功２路１０４號１樓,博德藥局,219922.7769,2665544.672,大里區,620,1160,開門就賣，賣到打烊,120.7041603,24.09471829,2022/2/15 15:08,892251,2022/9/27,9
98,66000,臺中市大里區大明路５３９號１樓、５４１號１樓,大明永欣藥局,216815.2623,2667774.712,大里區,1000,1060,每天下午1點到晚上9點，星期日口罩不發放,120.6735441,24.1147918,2022/2/15 15:08,892242,2022/9/26,17
99,66000,臺中市大里區塗城路４９４號,大里康媞藥局,219753.4885,2664853.732,大里區,350,650,營業時間都有,120.7025096,24.08847632,2022/2/15 15:08,892225,2022/9/25,10
100,66000,臺中市大里區大新街５１號,康福藥局,217257.0135,2666051.872,大里區,1740,1620,早上08:30~晚上10:00(一到六).日AM08:30~PM22:00,120.6779287,24.09924497,2022/2/15 15:08,892215,2022/9/24,5
101,66000,臺中市大里區德芳路一段５９號,和信健康藥局,218541.7075,2667616.242,大里區,1200,1820,9am，沒發號碼牌，周日休,120.6905313,24.11339627,2022/2/15 15:08,892210,2022/9/23,4
102,66000,臺中市大里區大明路１１７號,大里安德健保藥局,218072.2749,2667813.432,大里區,10,1680,禮拜一至禮拜五1300開始口罩販售，禮拜六日1500開始口罩販售,120.685909,24.11516734,2022/2/15 15:08,892206,2022/9/22,7
103,66000,臺中市大里區中興路二段１０１號,大樹大里藥局,218327.2787,2666458.172,大里區,980,720,口罩販售時間：14:00 - 16:00,120.6884472,24.1029354,2022/2/15 15:08,892199,2022/9/21,10
104,66000,臺中市大里區東榮路８號,德芳東榮藥局,218419.7526,2667262.502,大里區,670,1850,營業時間供應，售完為止,120.6893393,24.11019981,2022/2/15 15:08,892189,2022/9/20,17
105,66000,臺中市大里區日新路３４２號１樓,躍獅日新藥局,218738.2844,2667824.363,大里區,1030,1030,每日9:00代售口罩(星期日公休),120.6924606,24.11527937,2022/2/15 15:08,892172,2022/9/19,14
106,66000,臺中市大里區成功路５３５－３號１樓,德芳成功藥局,219831.2997,2665166.632,大里區,10510,1600,每日15:00現場排隊代售口罩,120.7032684,24.09130309,2022/2/15 15:08,892158,2022/9/18,9
107,66000,臺中市大里區東榮路３７０號１樓,永欣東榮藥局,217839.5618,2667277.071,大里區,740,2130,每天09:30領取口罩,120.6836316,24.11031965,2022/2/15 15:08,892149,2022/9/17,4
108,66000,臺中市大里區益民路二段１９號１樓,立人藥局,218364.979,2666831.192,大里區,580,490,每天8:00開始販售口罩(無需領號碼牌),120.6888099,24.10630428,2022/2/15 15:08,892145,2022/9/16,6
109,66000,臺中市中區自由路２段４５號１樓,宏信大藥局,217625.9578,2670518.696,中區,640,1190,周1~周5 早上9點至晚上7點周6周日早上10點到晚上7點,120.6814579,24.13958486,2022/2/15 15:08,892139,2022/9/15,12
110,66000,臺中市東區東英１７街１６７－３號,翔新藥局,220574.0647,2671466.879,東區,1470,550,-,120.710446,24.14820405,2022/2/15 15:08,892127,2022/9/14,42
111,66000,臺中市東區旱溪東路１段２９７號１樓,平祐健保藥局,219596.1956,2669985.645,東區,10,0,早上八點開始販售!不發號碼牌!週六公休，週日正常販售,120.7008549,24.134811,2022/2/15 15:08,892085,2022/9/13,7
112,66000,臺中市東區樂業路４４３號１樓,樂業小林健保藥局,220152.5459,2670218.968,東區,8670,1990,-,120.706324,24.13692837,2022/2/15 15:08,892078,2022/9/12,2
113,66000,臺中市西區四維街２３號１樓,利民藥局,217055.6712,2670249.602,西區,600,1840,平日營業時間10-20，周六10-15，周日休，防疫口罩於營業開始販售至售完或營業結束。,120.6758528,24.13714332,2022/2/15 15:08,892076,2022/9/11,6
114,66000,臺中市西區中美街３０５號１樓,陽光藥局,215454.8521,2671651.213,西區,700,1160,-,120.6600687,24.14976457,2022/2/15 15:08,892070,2022/9/10,1
115,66000,臺中市西區美村路１段２２２號１樓,美村全成藥局,215596.7748,2671538.954,西區,0,980,每天販賣口罩時段為 10:00~12:00   14:00~20:00,120.6614679,24.14875406,2022/2/15 15:08,892069,2022/9/9,3
116,66000,臺中市西區民權路３０２－５號,鑫祐藥局,216464.6379,2671416.904,西區,3810,880,早上09:00-11:00先領號碼牌，11:00起憑號碼牌購買，週一至週六早上銷售，週日停售,120.6700105,24.14767074,2022/2/15 15:08,892066,2022/9/8,6
117,66000,臺中市西區公益路１０６號,捷登藥局,215581.1191,2671793.073,西區,120,880,早上9:00 開始販售口罩，售完為止.,120.6613078,24.15104822,2022/2/15 15:08,892060,2022/9/7,10
118,66000,臺中市西區美村路一段５６７號,美術藥局,215631.3227,2670501.331,西區,880,1130,口罩星期一到六，售完為止。,120.6618325,24.13938585,2022/2/15 15:08,892050,2022/9/6,5
119,66000,臺中市中區雙十路一段３５號,雙十小林健保藥局,218039.04,2670792.357,中區,2370,1150,每日8點販賣,120.6855163,24.14206424,2022/2/15 15:08,892045,2022/9/5,7
120,66000,臺中市中區中華路二段６３號、６５號１樓,老順安大藥局,217426.7154,2671451.074,中區,1310,1300,-,120.6794765,24.14799944,2022/2/15 15:08,892038,2022/9/4,5
121,66000,臺中市東區樂業路３９５號１樓,??生藥局,220030.6623,2670338.311,東區,380,640,口罩10:00開始，中午1-3點暫停發放。(配合營業時間，星期一上午11點開始)現場排隊，請自備零錢並依規定排隊購買。,120.7051223,24.13800364,2022/2/15 15:08,892033,2022/9/3,2
122,66000,臺中市西區五權五街１１９號１樓,宇祥藥局,215455.3238,2670166.129,西區,1350,1720,-,120.6601088,24.13635538,2022/2/15 15:08,892031,2022/9/2,6
123,66000,臺中市西區精誠路４２２號,??星藥局,214936.699,2671149.555,西區,0,370,-,120.6549822,24.14522353,2022/2/15 15:08,892025,2022/9/1,7
124,66000,臺中市西區公益路１９０之１號１樓,神農藥局,215108.1247,2671791.702,西區,180,550,中午13:00開始販賣口罩，售完為止,120.6566523,24.1510101,2022/2/15 15:08,892018,2022/8/31,6
125,66000,臺中市南區美村路２段１８２號,小林健保藥局,215752.0816,2668961.862,南區,350,1250,固定周一到周日，早上8:00發號碼牌，下午4:30開始販賣防疫口罩,120.6630571,24.12548821,2022/2/15 15:08,892012,2022/8/30,6
